2026/09/25 04:38:27.674, 10.19, 2, 603
2026/09/25 04:38:28.689, 11.12, 0, 601
2026/09/25 04:38:29.689, 15.90, 1, 739
2026/09/25 04:38:30.692, 35.91, 5, 2865
2026/09/25 04:38:31.692, 67.50, 0, 3123
2026/09/25 04:38:32.692, 40.53, 0, 3118
2026/09/25 04:38:33.693, 35.67, 0, 3151
2026/09/25 04:38:34.693, 32.05, 1, 3151
2026/09/25 04:38:35.693, 32.12, 1, 3139
2026/09/25 04:38:36.693, 83.07, 99, 3933
2026/09/25 04:38:37.693, 182.47, 100, 5500
2026/09/25 04:38:38.693, 183.76, 100, 6707
2026/09/25 04:38:39.693, 182.22, 83, 7755
2026/09/25 04:38:40.694, 178.73, 94, 8319
2026/09/25 04:38:41.694, 183.03, 100, 8599
2026/09/25 04:38:42.694, 184.94, 100, 8967
2026/09/25 04:38:43.694, 180.23, 76, 9830
2026/09/25 04:38:44.694, 180.69, 92, 10031
2026/09/25 04:38:45.694, 185.15, 100, 9951
2026/09/25 04:38:46.695, 185.59, 100, 10111
2026/09/25 04:38:47.695, 183.95, 86, 10111
2026/09/25 04:38:48.695, 178.38, 91, 10175
2026/09/25 04:38:49.695, 183.42, 100, 10110
2026/09/25 04:38:50.695, 182.76, 100, 10109
2026/09/25 04:38:51.695, 181.98, 56, 10191
2026/09/25 04:38:52.695, 180.22, 92, 10177
2026/09/25 04:38:53.696, 182.59, 100, 10082
2026/09/25 04:38:54.696, 185.45, 100, 10081
2026/09/25 04:38:55.696, 184.59, 84, 10144
2026/09/25 04:38:56.696, 181.62, 85, 10066
2026/09/25 04:38:57.696, 185.56, 100, 10066
2026/09/25 04:38:58.696, 182.54, 100, 10064
2026/09/25 04:38:59.697, 181.81, 77, 10175
2026/09/25 04:39:00.697, 181.49, 100, 10226
2026/09/25 04:39:01.697, 188.26, 100, 10124
2026/09/25 04:39:02.697, 184.66, 100, 10131
2026/09/25 04:39:03.697, 188.08, 83, 10193
2026/09/25 04:39:04.697, 181.26, 97, 10193
2026/09/25 04:39:05.698, 185.40, 100, 10107
2026/09/25 04:39:06.698, 189.92, 100, 10086
2026/09/25 04:39:07.698, 184.72, 71, 10139
2026/09/25 04:39:08.698, 179.67, 91, 10136
2026/09/25 04:39:09.698, 183.95, 100, 10187
2026/09/25 04:39:10.698, 183.57, 100, 10165
2026/09/25 04:39:11.699, 184.96, 75, 10130
2026/09/25 04:39:12.699, 179.78, 91, 10129
2026/09/25 04:39:13.699, 187.31, 100, 10144
2026/09/25 04:39:14.699, 186.55, 100, 10143
2026/09/25 04:39:15.699, 188.45, 85, 10199
2026/09/25 04:39:16.699, 184.36, 92, 10131
2026/09/25 04:39:17.699, 187.68, 100, 10150
2026/09/25 04:39:18.700, 182.84, 100, 10151
2026/09/25 04:39:19.700, 188.77, 76, 10180
2026/09/25 04:39:20.700, 182.43, 88, 10115
2026/09/25 04:39:21.700, 187.38, 100, 10115
2026/09/25 04:39:22.700, 187.01, 100, 10077
2026/09/25 04:39:23.700, 185.11, 59, 10141
2026/09/25 04:39:24.701, 180.60, 74, 10075
2026/09/25 04:39:25.701, 183.95, 100, 10075
2026/09/25 04:39:26.701, 189.21, 100, 10075
2026/09/25 04:39:27.701, 184.08, 75, 10126
2026/09/25 04:39:28.701, 183.27, 88, 10062
2026/09/25 04:39:29.701, 187.85, 100, 10062
2026/09/25 04:39:30.701, 183.81, 100, 10062
2026/09/25 04:39:31.702, 188.82, 76, 10126
2026/09/25 04:39:32.702, 184.35, 93, 10062
2026/09/25 04:39:33.702, 190.08, 100, 10062
2026/09/25 04:39:34.702, 184.50, 100, 10062
2026/09/25 04:39:35.702, 190.03, 80, 10126
